English,简体中文,繁體中文,日本語,Italiano
Archery,射箭,射箭,アーチェリー,Tiro con l'arco
Badminton,羽毛球,羽毛球,バドミントン,Badminton
Barre,芭蕾塑形,芭蕾扶手健身操,バレエエクササイズ,Barra
Baseball,棒球,棒球,野球,Baseball
Basketball,篮球,籃球,バスケットボール,Basket
Bowling,保龄球,保齡球,ボウリング,Bowling
Boxing,拳击,拳擊,ボクシング,Boxe
Climbing,攀岩,攀石,クライミング,Arrampicata
Cooldown,整理放松,緩和運動,クールダウン,Defaticamento
Core Training,核心训练,核心訓練,コアトレーニング,Core training
Cricket,板球,板球,クリケット,Cricket
Cross Training,交叉训练,交叉訓練,クロストレーニング,Cross Training
Curling,冰壶,冰壺,カーリング,Curling
Cycling,单车,單車,サイクリング,Bici
Dance,舞蹈,舞蹈,ダンス,Danza
Disc Sports,飞盘运动,飛盤運動,フライングディスクスポーツ,Sport con disco
Elliptical,椭圆机,橢圓運轉機,エリプティカル,Ellittica
Equestrian Sports,马术运动,馬術運動,馬術競技,Sport equestri
Fencing,击剑,劍擊,フェンシング,Scherma
Fishing,钓鱼,釣魚,釣り,Pesca
Fitness Gaming,健身游戏,健身電玩,フィットネスゲーム,Giochi a tema fitness
Flexibility,柔韧度,柔軟度訓練,柔軟体操,Flessibilità
Football (American/Australian),足球（美式/澳式）,足球 (美式/澳式),フットボール（アメリカン／オーストラリアン）,Football (americano/australiano)
Functional Strength Training,功能性力量训练,功能性肌力訓練,機能的筋力トレーニング,Rafforzamento muscolare funzionale
Golf,高尔夫,高爾夫球,ゴルフ,Golf
Gymnastics,健身,體操,体操,Ginnastica
Hand Cycling,手摇车,手輪,ハンドサイクル,Handbike
Handball,手球,手球,ハンドボール,Pallamano
High Intensity Interval Training,高强度间歇训练,高強度間歇訓練,高強度インターバルトレーニング,Allenamento cardio
Hiking,徒步,遠足,ハイキング,Trekking
Hockey,曲棍球,曲棍球,ホッケー,Hockey
Hunting,打猎,狩獵,ハンティング,Caccia
Jump Rope,跳绳,跳繩,縄跳び,Salto con la corda
Kickboxing,踢拳,踢拳,キックボクシング,Kickboxing
Lacrosse,棍网球,棍網球,ラクロス,Lacrosse
Martial Arts,武术,武術,マーシャルアーツ,Arti Marziali
Mind & Body,柔缓冥想类运动,身心運動,マインド＆ボディ,Mente e corpo
Mixed Cardio,混合有氧,混合帶氧訓練,複合有酸素トレーニング,Cardio misto
Multisport,多项目运动,多項目運動,マルチスポーツ,Multisport
Other,其他,其他,その他,Altro
Paddling,划艇,划槳,パドリング,Sport con pagaia
Pickleball,匹克球,匹克球,ピックルボール,Pickleball
Pilates,普拉提,普拉提,ピラティス,Pilates
Play,休闲运动,播放,遊び,Riprodurre
Racquetball,短柄墙球,美式壁球,ラケットボール,Racquetball
Rolling,滚动,瑜伽滾輪,ローリング,Allenamento con rullo
Rowing,划船,划艇,ローイング,Canottaggio
Rugby,橄榄球,欖球,ラグビー,Rugby
Running,跑步,跑步,ランニング,Corsa
Sailing,帆船运动,帆船運動,セーリング,Navigazione
Skating,滑冰/滑板,溜冰/滑板,スケーティング,Pattinaggio
Skiing,滑雪（越野/高山）,滑雪 (越野/滑降),スキー（クロスカントリー／ダウンヒル）,Sci (sci di fondo/alpino)
Snow Sports,雪上运动,雪地運動,ウインタースポーツ,Sport sulla neve
Snowboarding,单板滑雪,單板滑雪,スノーボード,Snowboard
Soccer,英式足球,英式足球,サッカー,Calcio
Social Dance,社交舞,社交舞,社交ダンス,Ballo sociale
Softball,垒球,壘球,ソフトボール,Softball
Squash,壁球,壁球,スカッシュ,Squash
Stair Stepper,踏步机,踏步機,ステッパー,Stepper
Stairs,爬楼梯,走樓梯,階段昇降,Scale
Step Training,踏板训练,踏步訓練,ステップトレーニング,Step
Surfing,冲浪,滑浪,サーフィン,Surf
Swimming,游泳,游泳,スイミング,Nuoto
Table Tennis,乒乓球,乒乓球,卓球,Tennistavolo
Tai Chi,太极,太極,太極拳,Tai Chi
Tennis,网球,網球,テニス,Tennis
Track & Field,田径,田徑,陸上競技,Atletica leggera
Traditional Strength Training,传统力量训练,傳統性肌力訓練,従来型筋力トレーニング,Allenamento di forza tradizionale
Volleyball,排球,排球,バレーボール,Pallavolo
Walking,步行,步行,ウォーキング,Camminata
Water Fitness,水上健身,水上健身,ウォーターフィットネス,Acquagym
Water Polo,水球,水球,ウォーターポロ,Pallanuoto
Water Sports,水上运动,水上運動,ウォータースポーツ,Sport acquatici
Wheelchair,轮椅（户外步行配速/户外跑步配速）,輪椅 (户外競步配速/户外競跑配速),車椅子（屋外ウォーキングペース／屋外ランニングペース）,Allenamenti in sedia a rotelle (passo di camminata all'aperto/passo di corsa all'aperto)
Wrestling,摔跤,摔角,レスリング,Lotta
Yoga,瑜伽,瑜伽,ヨガ,Yoga
American Football,美式橄榄球,美式橄欖球,アメリカンフットボール,Football americano
Australian Football,澳式足球,澳式足球,オーストラリアンフットボール,Football australiano
Cardio Dance,有氧舞蹈,有氧舞蹈,カーディオダンス,Danza cardio
Cross Country Skiing,越野滑雪,越野滑雪,クロスカントリースキー,Sci di fondo
Downhill Skiing,高山滑雪,高山滑雪,ダウンヒルスキー,Sci alpino
Paddle Sports,划桨运动,划槳運動,パドルスポーツ,Sport di pagaia
Preparation And Recovery,泡沫轴筋膜放松,準備與恢復,準備と回復,Preparazione e recupero
Skating Sports,滑冰运动,滑冰運動,スケートスポーツ,Sport di pattinaggio
Stair Climbing,爬楼梯机,爬樓梯機,階段クライミング,Salita delle scale
Surfing Sports,冲浪运动,衝浪運動,サーフィン スポーツ,Sport di surf
Swim Bike Run,游泳骑行跑步,游泳騎行跑步,スイムバイクラン,Nuoto Bici Corsa
Transition,过渡,過渡,移行,Transizione
Underwater Diving,水下潜水,水下潛水,水中ダイビング,Immersione subacquea
Wheelchair Walk Pace,轮椅步行配速,輪椅步行配速,車椅子ウォークペース,Passo della camminata in sedia a rotelle
Wheelchair Run Pace,轮椅跑步配速,輪椅跑步配速,車椅子ランペース,Passo della corsa in sedia a rotelle
